ID,Name,Credit Hours
AE 6580,Aerospace Nonlinear Control,3
AE 6694,Graduate Internship,1
AE 6701,Wind Engineering,3
AE 6705,Introduction to Mechatronics,4
AE 6721,Evaluation of Human Integrated Systems,3
AE 6760,Acoustics I,3
AE 6761,Acoustics II,3
AE 6762,Applied Acoustics,3
AE 6765,Kinetics and Thermodynamics of Gases,4
AE 6766,null,3
AE 6767,Combustion II,3
AE 6769,Linear Elasticity,3
AE 6770,Energy and Variational Methods in Elasticity and Plasticity,3
AE 6779,Dynamic System Simulation and Modeling,3
AE 6XXX,Aerospace Engr Elective,1
AE 7000,Master's Thesis,1
AE 7741,Robotics Professional Preparation,1
AE 7742,Robotics Professional Preparation 2,1
AE 7743,Robotics Professional Preparation 3,1
AE 7764,Acoustic Propagation,3
AE 7772,Fundamentals of Fracture Mechanics,3
AE 7773,Advanced Fracture Mechanics,3
AE 7774,Fatigue of Materials and Structures,3
AE 7775,Topics in Fracture and Fatigue of Metallic and Composite Structures,3
AE 7785,Introduction to Robotics Resesarch,3
AE 7791,"Damage, Failure and Durability of Composite Materials",3
AE 7792,Advanced Mechanics of Composites,3
AE 7793,Manufacturing of Composites,3
AE 8001,Design Seminar,1
AE 8002,AE Graduate Seminar,1
AE 8740,Robotics Internship,1
AE 8741,Robotics Capstone Project,3
AE 8750,Robotics Research Foundation I,3
AE 8751,Robotics Research Foundation II,3
AE 8801,Special Topics,1
AE 8802,Special Topics,2
AE 8803,Special Topics,3
AE 8804,Special Topics,4
AE 8805,Special Topics,5
AE 8883,Special Topics,3
AE 8900,Special Problems,1
AE 8901,Special Problems,1
AE 8902,Special Problems,1
AE 8903,Special Problems,1
AE 8997,Teaching Assistantship,1
AE 8998,Research Assistantship,1
AE 8999,Preparation for Doctoral Dissertation,1
AE 9000,Doctoral Thesis,1
AS 1000,Air Force Leadership-Lab,1
AS 1110,Foundations of the Air Force I,1
AS 1120,Foundations of the Air Force II,1
AS 2210,Evolution of U, 
AS 2220,Evolution of U, 
AS 3310,Leadership Studies I,3
AS 3320,Air Force Ethics and Core Values,3
AS 4410,National Security Affairs,3
AS 4420,Preparation for Active Duty,3
APPH 1040,Scientific Foundations of Health,2
APPH 1050,The Science of Physical Activity and Health,2
APPH 11XX,Wellness Requirement,1
APPH 1802,Special Topics,2
APPH 1XXX,Applied Physiology elective,1
APPH 2500,Introduction to Sport Science,3
APPH 2698,Undergraduate Research Assistantship,1
APPH 2699,Undergraduate Research,1
APPH 2XXX,Applied Physiology elective,1
APPH 3000,Survey of Medicine,3
APPH 3300,Health Promotion,3
APPH 3500,Nutrition and Health,2
APPH 3751,Human Anatomy and Physiology,3
APPH 3753,Funadmentals of Anatomy,3
APPH 3754,Laboratory in Human Anatomy,1
APPH 3755,Human Physiology,3
APPH 3756,Laboratory in Human Physiology,1
APPH 3801,Special Topics,1
APPH 3802,Special Topics,2
APPH 3803,Special Topics,3
APPH 3804,Special Topics,4
APPH 3831,Special Topics,1
APPH 3832,Special Topics,2
APPH 3833,Special Topics,3
APPH 3834,Special Topics,4
APPH 3901,Special Problems,1
APPH 3902,Special Problems,1
APPH 3903,Special Problems,1
APPH 3904,Special Problems,1
APPH 4100,Exercise Physiology,3
APPH 4200,Kinesiological Basis of Human Movement,3
APPH 4238,"Ion Channel Structure, Function and Regulation",3
APPH 4400,Human Neuroanatomy,3
APPH 4600,Muscle Structure and Plasticity,3
APPH 4651,Human Anatomy,4
APPH 4698,Undergraduate Research Assistantship,1
APPH 4699,Undergraduate Research,1
APPH 4801,Special Topics,1
APPH 4802,Special Topics,2
APPH 4803,Special Topics,3
APPH 4804,Special Topics,4
APPH 4831,Special Topics,1
APPH 4832,Special Topics,2
APPH 4833,Special Topics,3
APPH 4834,Special Topics,4
APPH 6202,Clinical Gait Analysis,3
APPH 6203,Biomechanics and Kinesiology in Prosthetics and Orthotics,2
APPH 6209,Clinical Pathology,2
APPH 6211,Systems Physiology I: Cellular Mechanisms of Plasticity,3
APPH 6212,Systems Physiology II: Physiology of Neuromotor Tissues,3
APPH 6213,Systems Physiology III: Integrated Systems and Adaptation,3
APPH 6214,Laboratory Rotations in Prosthetics and Orthotics,2
APPH 6215,Studies in Responsible Conduct of Research in Prosthetics and Orthotics,3
APPH 6216,Studies in Rehabilitation Research: Prosthetics and Orthotics,1
APPH 6223,CAD/CAM in Prosthetics and Orthotics Laboratory,1
APPH 6225,Biostatistics,3
APPH 6230,Exercise Metabolism,3
APPH 6231,Biomechanical Aspects of Human Motor Control,3
APPH 6232,Locomotion Neuromechanics,3
APPH 6233,The Aging Movement Control System,3
APPH 6234,Physical Activity as a Human Behavior,3
APPH 6235,Mechanics and Pathomechanics of Movement Control,3
APPH 6236,Neuromuscular Physiology,3
APPH 6237,Methods of Human Neuroimaging,3
APPH 6238,"Ion Channel Structure, Function and Regulation",3
APPH 6239,Movement Disorders,3
APPH 6400,Human Neuroanatomy,3
APPH 6500,Classics in Neuroscience,1
APPH 6600,Muscle Structure and Plasticity,3
APPH 6651,Human Anatomy,4
APPH 6710,Ethics of Biotechnology and Bioengineering Research,3
APPH 6746,Rehabilitation Engineering,3
APPH 6895,Lower Limb Orthotics I,3
APPH 6896,Lower Limb Orthotics II,4
APPH 6971,Introduction to P&O Processes and Clinical Methods,1
APPH 6975,Introduction to Prosthetics,2
APPH 6981,Upper Limb Prosthetics,4
APPH 6982,Spinal Orthotics,4
APPH 6983,Upper Limb Orthotics,3
APPH 6984,Transtibial Prosthetics,4
APPH 6985,Transfemoral Prosthetics,4
APPH 6997,Assistive Technology,1
APPH 6999,Clinical Practicum in Prosthetics and Orthotics,1
APPH 8000,Seminar,3
APPH 8009,Research Seminar I,1
APPH 8010,Seminar in Prosthetics and Orthotics,1
APPH 8012,Research Seminar III,3
APPH 8801,Special Topics,1
APPH 8802,Special Topics,2
APPH 8803,Special Topics,3
APPH 8804,Special Topics,4
APPH 8813,Special Topics,3
APPH 8823,Special Topics,3
APPH 8833,Special Topics,3
APPH 8901,Special Problems,1
APPH 8902,Special Problems,1
APPH 8903,Special Problems,1
APPH 8997,Teaching Assistantship,1
APPH 8998,Research Assistantship,1
APPH 9000,Doctoral Thesis,1
ASE 6001,Fundamentals of Modern Systems Engineering,3
ASE 6002,Systems Design and Analysis,3
ASE 6003,Modeling and Simulation for Systems Engineers,3
ASE 6004,Leading Systems Engineering Teams,3
ASE 6005,Advanced Topics in Systems Engineering: Systems Modeling with SysML,3
ASE 6006,Systems Engineering Laboratory,3
ASE 6101,Vehicle Systems Analysis and Synthesis,3
ASE 6102,System of Systems and Architecture,3
ASE 6103,Complex System Lifecycle and Integration,3
ASE 6104,Complex System Design and Integration (Capstone),3
ASE 6111,Sensor Systems Analysis and Synthesis,3
ASE 6121,Information Systems Analysis and Synthesis,3
ASE 6131,Analysis and Synthesis: Human Systems Integration,3
ASE 8801,Special Topics,1
ASE 8803,Special Topics,3
ASE 8901,Special Problems,1
ARBC 1001,Elementary Arabic I,4
ARBC 1002,Elementary Arabic II,4
ARBC 10X1,Trans Arabic Elementary I,3
ARBC 10X2,Trans Arabic Elementary II,3
ARBC 1501,Understanding Arab Culture,3
ARBC 1801,Special Topics,1
ARBC 1813,Special Topics,3
ARBC 1814,Special Topics,4
ARBC 1823,Special Topics,3
ARBC 1XXX,Arabic Elective,1
ARBC 2001,Intermediate Arabic I,3
ARBC 2002,Intermediate Arabic II,3
ARBC 2301,"Arabic Arts, Science and Technology Through History",3
ARBC 2698,Research Assistantship,1
ARBC 2699,Undergraduate Research,1
ARBC 2811,Special Topics,1
ARBC 2813,Special Topics,3
